Original,EN,Positive,Negative,Neutral,Compound
店裡座位分成吧台、桌椅區和沙發區，沙發區很舒服。雖然餐點種類不多，但每一樣都滿好吃。大推冷肉拼盤，就是一般的生火腿拼盤，非常下酒。八款調酒都偏向熱帶島嶼水果風，酒感都不明顯，會以為在喝水果汁或水果茶，但實際上酒精濃度都不低，喝多會醉的,"The seats in the store are divided into bar tables, tables and chairs areas, and sofa areas. The sofa area is very comfortable.Although there are not many types of meals, they are all delicious.Large pushing cold meat platter is the ordinary raw ham platter, which is very wine.Eight bartending bartending is biased towards tropical island fruit wind, and the wine feels not obvious. I think that drinking water juice or fruit tea, but in fact, the concentration of alcohol is not low, and it will be drunk when drinking more.",0.024,0.05,0.927,-0.3462
"「Isla 612」酒類、餐點和裝潢都極有特色，很適合個人小酌、情侶約會、或與三五朋友聚餐聊天的好地方。特別推薦店家的特調，每一杯都有精心設計，大多都是水果風味，酒精味道都不會太濃，不論是小酌暢飲都很適合，心動的朋友不妨來這嚐美味，很值得一訪再訪喔。🥰🥰🥰

開車不喝酒，喝酒不開車，未成年請勿飲酒","""ISLA 612"" alcohol, meals and decoration are very distinctive, which is very suitable for personal drinking, couple dating, or good places to chat with three or five friends.Special recommendation of the store is specially designed. Most of the fruits are designed with fruit. The taste of alcohol will not be too strong. It is suitable for drinking and drinking. Friends with heart may wish to come here to taste delicious. Visit again.Bleak

Drive without drinking, drink alcohol, do not drive, please do not drink for minors",0.166,0.047,0.788,0.9175
"喜歡葡萄調酒，酒感不重，清爽順口
服務超級友善，謝謝讓我們度過完美的生日
很喜歡整體的裝潢，還有沙發區，跟閨蜜聊天超舒服","I like grapes and alcohol, the wine feels not heavy, refreshing and smooth
Service is super friendly, thank you for letting us spend the perfect birthday
I really like the overall decoration, as well as the sofa area, which is super comfortable to chat with girlfriends",0.43,0.0,0.57,0.9796
"店內的氛圍很棒 給人很放鬆的感覺
酒也不錯
不過我蠻在意店內有油煙味的部分
改善的話會很棒","The atmosphere in the store is great to give people a very relaxed feeling
Wine is also good
But I care about the smell of oil fume in the store
It will be great if you improve",0.408,0.052,0.54,0.9592
"這是我全台北最愛的bar，一進到店內根本就是到南洋島嶼放假呀！
Super chill, super cozy.","This is my favorite BAR in Taipei. As soon as I entered the store, I went to Nanyang Island to take a vacation!
Super Chill, Super Cozy.",0.316,0.0,0.684,0.902
店長人帥又會聊天，調酒好喝味道不單調，找機會帶朋友回訪👍👍,The manager is handsome and chats again.,0.348,0.0,0.652,0.4939
很舒服聊天喝酒的地方 ♥️ 還有一隻毛毛叫花花 😻,Very comfortable to chat and drink ♥ ️ and a hairy called Huahua 😻,0.403,0.0,0.597,0.8955
"氣氛超讚👍點了薯條還有兩杯酒
超好喝又好吃😝
想要喝的酒，調酒師都可以幫妳客製化❤️
超級推薦的一家酒吧
闆娘也有在龍潭夜景區開景觀餐廳（嶺空），非常值得去！！！","The atmosphere is superb, or order the fries and two glasses of wine
Super delicious and delicious 又
The wine you want to drink, the bartender can help you make customer production ❤️
Super recommended a bar
Ban Niang also has an open -air restaurant (Ridge) in Longtan Night Scenic Area, which is worth going!IntersectionIntersection",0.355,0.047,0.598,0.9709
"較適合用晚餐喝小酒之處，如果以晚餐為主，這裡的餐以炸物和墨西哥餐為主，我們這天去似乎只有一個服務人員，內外場都要跑，餐點等了兩個小時才收到最後一道，餐點和飲品也有弄錯的，座位和店內氛圍ok，如果想體驗特色調酒也可以來，想吃飯的話就不建議了！
A place for cocktails rather than food","It is more suitable for drinking small wine for dinner. If dinner is mainly, the meals here are mainly fried and Mexican meals. We seem to have only one service staff this day. I received the last one in the hour, and the meal and drinks were also wrong. The seats and the atmosphere of the store were OK. If you want to experience the special bartending, you can also come. If you want to eat, it is not recommended!
A Place for Cocktails Rather than Food",0.061,0.051,0.889,-0.1739
想體驗歐洲風情感的，還有特色酒吧，這邊在市區附近就有喔！非常不一樣，而且也有外國人跟漂亮外國臉孔老闆娘喔！真的像在國外呢！,"Those who want to experience the European style emotions are also a special bar, here are near the city!Very different, and there are foreigners and beautiful foreign faces.It's really like abroad!",0.295,0.0,0.705,0.8828
女吧台手很漂亮，態度很好,"Women's bar hand is very beautiful, and the attitude is very good",0.54,0.0,0.46,0.8906
"第一次來覺得還不錯
之後會換菜單 有點新菜 鴨
不錯吃 半雞的cp更高

來杯 寶貝睡三天 貴妃賞月嚐柚茶","I think it's pretty good for the first time
After that, I will change the menu and have a new vegetable duck
Good CP that eats half chicken is higher

Come to the cup baby sleep for three days, the concubine enjoy the monthly taste pomelo tea",0.221,0.0,0.779,0.9042
"調酒超級好喝又好看，食物也不馬虎！
老闆和bartender 都超級熱情，介紹和推薦也都很用心也很有耐心！
氣氛非常好！大力推薦！","The bartending is super delicious and beautiful, and the food is not sloppy!
Both the boss and Bartender are super enthusiastic, and the introduction and recommendation are also very careful and patient!
The atmosphere is very good!Great recommendation!",0.404,0.0,0.596,0.9708
"闆娘推薦的煙燻鴨胸跟貴妃賞月嚐柚茶，都很不錯👍
店內氣氛很好，音樂音量也剛好，適合週五下班跟朋友來小酌微醺一下！ …","The smoky duck breasts recommended by Banniang and the concubine to enjoy the monthly grapefruit tea are very good
The atmosphere in the store is very good, and the volume of music is just right. It is suitable for friends to drink with friends on Friday!Mowing",0.309,0.0,0.691,0.9507
意外發現的調酒吧 ，酒很好喝也很有創意 ，玉米脆片和沙拉份量都蠻多的，很適合三五好友一起小聚的地方！,"The accidental bartending bar, the wine is very delicious and creative. The corn crisp and salads are quite large, which is very suitable for three or five friends to gather together!",0.272,0.033,0.695,0.882
店很美，老闆很客氣，這次買外帶茶很好喝！而且發因為是使用立體茶包，回家後還可以再回沖，推推！！！,"The shop is beautiful, the boss is very polite, this time it is delicious to buy tea!And because I use a three -dimensional tea bag, I can rush back after I go home and push!IntersectionIntersection",0.199,0.0,0.801,0.8475
調酒好喝，店員年輕帥氣又會聊天，下次會在來訪,"The bartender is delicious, the clerk is young and handsome, and will chat, and will be visiting next time",0.289,0.0,0.711,0.7845
"調酒好喝，服務也很棒，絕對是林森北路上必試的酒吧！Great bar, cocktails are interesting and service is good!","The bartending is delicious and the service is great. It is definitely a must -try bar on the North Road of Linden!Great Bar, Cocktails Are Interesting and Service Is Good!",0.4,0.0,0.6,0.9492
"意外發現的拉美風調酒吧！🤩
調酒好喝之外，調酒師也親切好聊。環境很令人自在放鬆。有空一定再來！ …","The Latin American Wild Wind Bar!Bleak
In addition to the bartender, the bartender is also kindly talked about.The environment is very relaxed.Come again when you have time!Mowing",0.127,0.0,0.873,0.5837
闆娘很熱情、酒杯有特色，店內有大螢幕可看體育賽事～還不錯的酒吧，環境也舒適,"Ban Niang is very enthusiastic and has a special feature of the wine glass. There are large screens in the store to watch sports events ~ pretty good bar, the environment is also comfortable",0.33,0.076,0.593,0.8999
酒好喝👍bartender 很熱情，會關心客戶喝的適應狀況，介紹的詳細 下班放假聚餐都適合來放鬆喝一杯吃東西！裝潢真的很漂亮💗 …,"The wine is very enthusiastic, and it will care about the adaptation of the customer to drink. The detailed holiday dinners introduced are suitable to relax and drink a glass of food!The decoration is really beautiful ...",0.344,0.0,0.656,0.95
二次回訪，剛好遇到萬聖節活動，店裡內外都有萬聖節裝扮，店內外客人絡繹不絕、嬉鬧聲此起彼落，十分融洽，非常喜歡店內氣氛，店員平易近人且非常貼心和禮貌，適合小憩聊天放鬆的場所。,"In the second visit, I just met Halloween activities. There were Halloween dress inside and outside the store. There were endless streams of guests inside and outside the store. Chat where to relax.",0.083,0.0,0.917,0.4404
